NUMERO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
8685;17.5.8.0.11.1.1 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(REGULARIZANDO A GUIA Nº 3928, EM 17/06/22);163341;BANCO DO BRASIL S.A;6.224,78
8684;13.2.1.0.01.1.1 - Remuneração de Depósitos Bancários - Principal;01/12/2021;REGULARIZAR A 0 CANCELAMENTO DA GUIA N] 3928, EM 17/06/2022,;163341;BANCO DO BRASIL SA;-6.224,78
8683;17.5.8.0.11.1.1 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(REGURALIZANDO A GUIA Nªº 3406,EM 31/05/2021.;163341;BANCO DO BRASIL S.A;722.577,64
8682;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;REFERENTE AO CANCELAMENTO DA GUIA Nº 3406, 31/05/2021.;163341;BANCO DO BRASIL SA;-722.577,64
8681;17.5.8.0.11.1.1 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(REGULARIZAR A GUIA Nº 492, EM 02/02/2021.;163341;BANCO DO BRASIL S.A;1.166.975,68
8680;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;REFERENTE AO ESTORNO DA GUIA Nº 492,EM 02/02/2021 DA CONTA 16334-1.;163341;BANCO DO BRASIL SA;-1.166.975,68
8679;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(REGULARIZANDO A RECEITA Nº 1970,EM 31/03/2021.;163341;BANCO DO BRASIL S.A;88.520,16
8678;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;REFERENTE AO ESTORNO DA RECEITA Nº 1970, EM 31/03/2021.;163341;BANCO DO BRASIL SA;-88.520,16
8677;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(REGULARIZANDO AS GUIAS 491,02/02/2021 E 1177,26/02/2021);163341;BANCO DO BRASIL S.A;177.040,32
8676;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;REFERENTE AO ESTORNO EFETUADO NA CONTA 16334-1, DAS GUIAS 491,02/02/21 E DA GUIA  1177, 26/02/21M 18/06/2021.;163341;BANCO DO BRASIL SA;-177.040,32
8675;17.5.8.0.11.1.1 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;Ref. a Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal.(Regularizando o cancelamento da guia de receita nº3927/18/06/2021);163341;BANCO DO BRASIL S.A;144.868,60
8674;17.1.8.0.91.1.1 - Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;REFERENTE AO ESTORNO EFETUADO NA CONTA 16334-1, EM 18/06/2021, CONFORME EXTRATO BANCARIO EM ANEXO.;163341;BANCO DO BRASIL SA;-144.868,60
8673;13.2.1.0.01.1.1 - Remuneração de Depósitos Bancários - Principal;31/12/2021;RENDIMENTO DE APLICAÇÃO;310506;BANCO DO BRASIL SA;198,86
8672;11.1.3.0.31.1.1 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;Recolhimento da Receita acima, retida na fonte, conforme Pagto de Nota de Empenho nº 5708.;39659;SEC. EDUC/EDUC.INFANTIL II - FUNDEB - EFETIVOS;23.392,15
8671;11.1.3.0.31.1.1 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;Recolhimento da Receita acima, retida na fonte, conforme Pagto de Nota de Empenho nº 5708.;39659;SEC. EDUC/EDUC.INFANTIL II - FUNDEB - EFETIVOS;23.392,15
8670;11.1.3.0.31.1.1 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;Recolhimento da Receita acima, retida na fonte, conforme Pagto de Nota de Empenho nº 5707.;163341;SEC. EDUC/EDUC. INFANTIL I - FUNDEB - EFETIVOS;24.490,27
