NUMERO;RECEITA;DATA;HISTORICO;CONTA BANCARIA;FORNECEDOR;VALOR
480;13.2.1.0.10.1.1 - Remuneração de Depósitos Bancários - Principal;30/12/2022;CORRESPONDENTE A RECEITA COM RENDIMENTOS BANCARIOS DA CONTA 11.183-X, RELATIVO AO MES DE DEZEMBRO DE 2022.;000000011183X;BANCO DO BRASIL S/A;24,14
479;19.1.1.0.10.1.1 - Multas Previstas em Legislação Específica - Principal;30/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE MULTAS DE TRANSITO PRESVISTAS EM LEGISLACAO ESPECIFICA.;000000011183X;BANCO DO BRASIL S/A;5.965,91
478;11.2.1.0.10.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;29/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE TAXAS DE AUTORIZACAO DE TRANSPORTE.;000000011183X;BANCO DO BRASIL S/A;83,6
477;19.1.1.0.10.1.1 - Multas Previstas em Legislação Específica - Principal;29/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE MULTAS DE TRANSITO PRESVISTAS EM LEGISLACAO ESPECIFICA.;000000011183X;BANCO DO BRASIL S/A;8.015,03
476;11.2.1.0.10.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;28/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE TAXAS DE AUTORIZACAO DE TRANSPORTE.;000000011183X;BANCO DO BRASIL S/A;233,6
475;19.1.1.0.10.1.1 - Multas Previstas em Legislação Específica - Principal;28/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE MULTAS DE TRANSITO PRESVISTAS EM LEGISLACAO ESPECIFICA.;000000011183X;BANCO DO BRASIL S/A;7.368,07
474;11.2.1.0.10.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;27/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE TAXAS DE AUTORIZACAO DE TRANSPORTE.;000000011183X;BANCO DO BRASIL S/A;40
473;19.1.1.0.10.1.1 - Multas Previstas em Legislação Específica - Principal;27/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE MULTAS DE TRANSITO PRESVISTAS EM LEGISLACAO ESPECIFICA.;000000011183X;BANCO DO BRASIL S/A;3.675,22
472;19.1.1.0.10.1.1 - Multas Previstas em Legislação Específica - Principal;26/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE MULTAS DE TRANSITO PRESVISTAS EM LEGISLACAO ESPECIFICA.;000000011183X;BANCO DO BRASIL S/A;6.148,56
471;11.2.1.0.10.1.1 - Taxas de Inspeção, Controle e Fiscalização - Principal;23/12/2022;CORRESPONDENTE A ARRECADACAO DE RECEITA ORCAMENTARIA DECORRENTE DE TAXAS DE AUTORIZACAO DE TRANSPORTE.;000000011183X;BANCO DO BRASIL S/A;152
