CODIGO;RECEITA;DATA;FORNECEDOR;VALOR;TIPO
175801111 ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;BANCO DO BRASIL S.A;6224.78;1
132100111 ; Remuneração de Depósitos Bancários - Principal;01/12/2021;BANCO DO BRASIL SA;-6224.78;1
175801111 ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;BANCO DO BRASIL S.A;722577.64;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL SA;-722577.64;1
175801111 ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;BANCO DO BRASIL S.A;1166975.68;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL SA;-1166975.68;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL S.A;88520.16;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL SA;-88520.16;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL S.A;177040.32;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL SA;-177040.32;1
175801111 ; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da ;01/12/2021;BANCO DO BRASIL S.A;144868.60;1
171809111 ; Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e ;01/12/2021;BANCO DO BRASIL SA;-144868.60;1
132100111 ; Remuneração de Depósitos Bancários - Principal;31/12/2021;BANCO DO BRASIL SA;198.86;1
111303111 ; Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;SEC. EDUC/EDUC.INFANTIL II - FUNDEB - EFETIVOS;23392.15;1
111303111 ; Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;SEC. EDUC/EDUC.INFANTIL II - FUNDEB - EFETIVOS;23392.15;1
111303111 ; Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;30/12/2021;SEC. EDUC/EDUC. INFANTIL I - FUNDEB - EFETIVOS;24490.27;1
192299111 ; Outras Restituições - Principal;31/12/2021;CAMARA MUNICIPAL DE CAJAZEIRAS;375;1
192299111 ; Outras Restituições - Principal;31/12/2021;CAMARA MUNICIPAL DE CAJAZEIRAS;2062.50;1
111801111 ; Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;30/12/2021;Prefeitura Municipal de Cajazeiras;130951.61;1
132100111 ; Remuneração de Depósitos Bancários - Principal;31/12/2021;BANCO DO BRASIL SA;61.18;1
132100111 ; Remuneração de Depósitos Bancários - Principal;30/12/2021;BANCO DO BRASIL SA;7.52;1
171812111 ; Transferências de Recursos do Fundo Nacional de Assistência Social ? FNAS - Principal;31/12/2021;BANCO DO BRASIL SA;41538.47;1
132100111 ; Remuneração de Depósitos Bancários - Principal;31/12/2021;BANCO DO BRASIL SA;132.25;1
171812111 ; Transferências de Recursos do Fundo Nacional de Assistência Social ? FNAS - Principal;23/12/2021;BANCO DO BRASIL SA;47808.00;1
132100111 ; Remuneração de Depósitos Bancários - Principal;31/12/2021;BANCO DO BRASIL SA;170.42;1
111802311 ; Imposto sobre Serviços de Qualquer Natureza - Principal;30/12/2021;Prefeitura Municipal de Cajazeiras;787.11;1
111801411 ;" Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";30/12/2021;Prefeitura Municipal de Cajazeiras;450;1
111801111 ; Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;30/12/2021;Prefeitura Municipal de Cajazeiras;54675.24;1
111802311 ; Imposto sobre Serviços de Qualquer Natureza - Principal;29/12/2021;Prefeitura Municipal de Cajazeiras;137.23;1
111801111 ; Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;29/12/2021;Prefeitura Municipal de Cajazeiras;31141.07;1
112201111 ; Taxas pela Prestação de Serviços - Principal;28/12/2021;Prefeitura Municipal de Cajazeiras;124.5;1
112101111 ; Taxas de Inspeção, Controle e Fiscalização - Principal;28/12/2021;Prefeitura Municipal de Cajazeiras;398.88;1
111802311 ; Imposto sobre Serviços de Qualquer Natureza - Principal;28/12/2021;Prefeitura Municipal de Cajazeiras;84.91;1
111801411 ;" Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";28/12/2021;Prefeitura Municipal de Cajazeiras;10476.04;1
111801111 ; Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;28/12/2021;Prefeitura Municipal de Cajazeiras;53659.43;1
112201111 ; Taxas pela Prestação de Serviços - Principal;27/12/2021;Prefeitura Municipal de Cajazeiras;124.5;1
112101111 ; Taxas de Inspeção, Controle e Fiscalização - Principal;27/12/2021;Prefeitura Municipal de Cajazeiras;84.5;1
112101111 ; Taxas de Inspeção, Controle e Fiscalização - Principal;27/12/2021;Prefeitura Municipal de Cajazeiras;265.65;1
111802311 ; Imposto sobre Serviços de Qualquer Natureza - Principal;27/12/2021;Prefeitura Municipal de Cajazeiras;1368.60;1
111801411 ;" Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";27/12/2021;Prefeitura Municipal de Cajazeiras;1680.00;1
111801111 ; Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;27/12/2021;Prefeitura Municipal de Cajazeiras;20981.56;1
112201111 ; Taxas pela Prestação de Serviços - Principal;24/12/2021;Prefeitura Municipal de Cajazeiras;193.5;1
