DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO;TIPO
31/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0;1
31/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;11/01/2022;17820.00;17820.00;17820.00;0;1
31/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;11/01/2022;24525.03;24525.03;24525.03;0;1
31/12/2021;02140; Fundo Municipal de Assistência Social;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;61859.51;61859.51;61859.51;0;1
31/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;6500.00;6500.00;6500.00;0;1
31/12/2021;02160; Secretaria Municipal de Desenvolvimento Humano;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;11/01/2022;16389.58;16389.58;16389.58;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;339030 ; Material de Consumo;13/01/2022;2060.00;2060.00;2060.00;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;51778.07;51778.07;51778.07;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;16616.03;16616.03;16616.03;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;319004 ; Contratação por Tempo Determinado;13/01/2022;24566.91;24566.91;24566.91;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;10.45;10.45;10.45;0;1
30/12/2021;02140; Fundo Municipal de Assistência Social;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;12/01/2022;42.11;42.11;42.11;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;13/01/2022;400;400;400;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;13/01/2022;600;600;600;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;07/01/2022;31.35;31.35;31.35;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;06/01/2022;400;400;0;400;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;1330.88;1330.88;0;1330.88;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;357.2;357.2;0;357.2;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;38;38;0;38;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;154.84;154.84;0;154.84;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;138.7;138.7;0;138.7;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;1158.96;1158.96;0;1158.96;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;05/01/2022;137.74;137.74;0;137.74;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;2117.80;2117.80;0;2117.80;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;10.45;10.45;10.45;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;20.9;20.9;20.9;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;04/01/2022;20.9;20.9;20.9;0;1
30/12/2021;02130; Fundo Municipal de Saúde;335041 ; Contribuições;04/01/2022;6000.00;6000.00;6000.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1800.00;1800.00;0;1800.00;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1800.00;1800.00;1800.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;03/01/2022;3500.00;3500.00;0;3500.00;1
30/12/2021;02130; Fundo Municipal de Saúde;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;03/01/2022;3500.00;3500.00;3500.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;0;1500.00;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;1500.00;1500.00;1500.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;2500.00;2500.00;2500.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;339036 ; Outros Serviços de Terceiros - Pessoa Física;03/01/2022;2050.00;2050.00;2050.00;0;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;49404.50;49404.50;0;49404.50;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;390;390;0;390;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;7060.00;7060.00;0;7060.00;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;116871.94;116871.94;0;116871.94;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;84743.36;84743.36;0;84743.36;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;98331.27;98331.27;0;98331.27;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;217880.33;217880.33;0;217880.33;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;224368.81;224368.81;0;224368.81;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;5332.37;5332.37;0;5332.37;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;35.48;35.48;0;35.48;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;8239.00;8239.00;0;8239.00;1
30/12/2021;02130; Fundo Municipal de Saúde;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;03/01/2022;74.19;74.19;0;74.19;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;1613.44;1613.44;0;1613.44;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;42705.72;42705.72;0;42705.72;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;36466.10;36466.10;0;36466.10;1
30/12/2021;02130; Fundo Municipal de Saúde;319004 ; Contratação por Tempo Determinado;03/01/2022;12035.48;12035.48;0;12035.48;1
